player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
K Khejroliya,3,0.0,0.0,0.0,0.0,5.0,10.279069767441861,0.7142857142857143,0,Finishers / All-Rounders
K Rabada,6,206.0,12.875,99.51690821256038,7.357142857142857,126.0,8.34399580492921,1.575,3,Finishers / All-Rounders
K Santokie,1,0.0,0.0,0.0,0.0,3.0,10.705882352941176,1.5,0,Finishers / All-Rounders
K Upadhyay,2,12.0,12.0,133.33333333333334,6.0,0.0,8.678571428571429,0.0,2,Finishers / All-Rounders
K Yadav,2,0.0,0.0,0.0,0.0,2.0,9.444444444444445,0.6666666666666666,0,Finishers / All-Rounders
KA Jamieson,1,65.0,21.666666666666668,118.18181818181819,9.285714285714286,9.0,9.083798882681565,1.0,2,Finishers / All-Rounders
KA Maharaj,1,1.0,1.0,50.0,1.0,2.0,6.5,1.0,0,Finishers / All-Rounders
KA Pollard,12,3437.0,26.643410852713178,140.45770331017573,20.458333333333332,81.0,8.32282471626734,0.7570093457943925,1,Power Hitters
KAJ Roach,1,10.0,10.0,111.11111111111111,10.0,0.0,9.230769230769232,0.0,2,Finishers / All-Rounders
KB Arun Karthik,3,51.0,10.2,96.22641509433963,6.375,0.0,0.0,0.0,2,Finishers / All-Rounders
KC Cariappa,4,24.0,8.0,114.28571428571429,4.8,8.0,9.348214285714285,0.7272727272727273,0,Finishers / All-Rounders
KC Sangakkara,6,1687.0,24.44927536231884,118.46910112359551,24.808823529411764,0.0,0.0,0.0,1,Power Hitters
